CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,207,1,77183.6,2
12347.0,11,5,2790.86,1
12348.0,130,3,1487.24,0
12350.0,191,1,334.4,0
12352.0,143,5,1561.81,0
12353.0,85,1,89.0,1
12354.0,114,1,1079.4,0
12355.0,96,1,459.4,1
12356.0,127,2,2753.08,0
12358.0,32,1,484.86,1
12359.0,71,3,3495.73,1
12360.0,82,1,1083.58,1
12361.0,169,1,189.9,0
12362.0,2,4,1747.35,1
12363.0,124,1,299.1,0
12365.0,173,2,641.38,0
12370.0,156,3,2806.41,0
12372.0,94,2,914.9200000000001,1
12373.0,193,1,364.6,0
12377.0,196,2,1628.12,0
12378.0,11,1,4008.62,1
12379.0,51,1,459.84,1
12380.0,67,1,607.5500000000001,1
12381.0,1,1,1268.74,1
12383.0,66,5,1850.56,1
12384.0,3,1,292.69,1
12386.0,219,2,401.9,0
12388.0,30,4,1668.3400000000001,1
12393.0,127,3,1061.1000000000001,0
12394.0,99,1,381.08,1
12395.0,43,7,1733.62,1
12397.0,17,1,1214.81,1
12399.0,1,4,1108.65,1
12401.0,185,1,84.3,0
12402.0,205,1,225.6,0
12405.0,30,1,1710.39,1
12406.0,65,1,1621.25,1
12407.0,15,4,1407.3600000000001,1
12408.0,57,3,1491.77,1
12409.0,64,1,6207.08,1
12410.0,190,2,693.3299999999999,0
12412.0,19,2,890.74,1
12413.0,117,2,563.9,0
12414.0,99,3,562.41,1
12415.0,25,12,77265.72,2
12417.0,8,6,2253.83,1
12421.0,55,2,396.8,1
12422.0,50,2,655.86,1
12423.0,73,6,1451.69,1
12424.0,44,2,1760.96,1
12426.0,76,1,582.73,1
12427.0,253,1,303.5,0
12428.0,2,8,7548.12,1
12429.0,54,3,2844.88,1
12431.0,1,11,4874.57,1
12432.0,52,3,4016.66,1
12433.0,247,2,3787.12,0
12434.0,142,1,286.25,0
12435.0,149,1,3978.9900000000002,0
12437.0,59,9,2476.73,1
12438.0,22,1,890.0699999999999,1
